biological_axis_label,networks_using_label,auto_mapped_axis_code,suggested_axis_code,suggested_axis_name,suggestion_confidence,CONFIRM_axis_code,status,example_networks
Fibrosis,1,,A25,Fibrosis & ECM Remodeling,0.33,,NEEDS_REVIEW,N078 Fibrosis Decision Network
Fluid–Electrolyte Balance,1,,A9,Oxidative Stress & Redox Balance,0.17,,NEEDS_REVIEW,N129 Fluid–Electrolyte Regulation Network
Functional Reserve,1,,A35,Visceral Organ Functional Reserve,0.5,,NEEDS_REVIEW,N100 Cardiovascular Reserve Network
GI Motility,1,,,,0.0,,NEEDS_REVIEW,N131 Gastrointestinal Motility Network
Gallbladder Function,1,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N136 Gallbladder Motility Network
Gas Exchange,1,,,,0.0,,NEEDS_REVIEW,N137 Pulmonary Gas Exchange Network
Genomic Stability,1,,A11,DNA Repair & Genomic Stability,0.5,,NEEDS_REVIEW,N051 Chromosomal Stability Network
Glycemic Stability,1,,A11,DNA Repair & Genomic Stability,0.2,,NEEDS_REVIEW,N020 Glucose Variability Control Network
Growth Axis,1,,A33,Thyroid–Adrenal–Growth Axis,0.5,,NEEDS_REVIEW,N107 Growth Hormone–IGF Network
Growth–Repair Balance,1,,A9,Oxidative Stress & Redox Balance,0.17,,NEEDS_REVIEW,N063 IGF–Growth Regulation Network
Gustatory System,1,,,,0.0,,NEEDS_REVIEW,N171 Taste Perception Network
Hematopoiesis,1,,A26,Stem Cell & Hematopoiesis,0.33,,NEEDS_REVIEW,N164 Bone Marrow Hematopoietic Network
Hepatic Glucose Control,1,,A5,Glucose–Insulin Regulation,0.2,,NEEDS_REVIEW,N019 Hepatic Glucose Output Network
Immune Escape,1,,A2,Immune Homeostasis,0.33,,NEEDS_REVIEW,N157 Immune Escape Network
Inflammasome,1,,,,0.0,,NEEDS_REVIEW,N010 NLRP3 Inflammasome Network
Inflammation,1,,,,0.0,,NEEDS_REVIEW,N090 Endothelial Inflammation Network
Joint Homeostasis,1,,A2,Immune Homeostasis,0.33,,NEEDS_REVIEW,N146 Synovial Joint Homeostasis Network
Kidney Filtration,1,,,,0.0,,NEEDS_REVIEW,N126 Renal Filtration Network
Leukopoiesis,1,,,,0.0,,NEEDS_REVIEW,N166 White Blood Cell Renewal Network
Liver Fibrosis,1,,A25,Fibrosis & ECM Remodeling,0.25,,NEEDS_REVIEW,N124 Hepatic Fibrosis Regulation Network
Liver Functional Reserve,1,,A35,Visceral Organ Functional Reserve,0.4,,NEEDS_REVIEW,N121 Hepatic Detoxification Network
Liver Metabolic Reserve,1,,A35,Visceral Organ Functional Reserve,0.17,,NEEDS_REVIEW,N122 Hepatic Metabolic Network
Liver Repair,1,,A11,DNA Repair & Genomic Stability,0.2,,NEEDS_REVIEW,N123 Hepatic Regeneration Network
Lymphatic Drainage,1,,,,0.0,,NEEDS_REVIEW,N150 Lymphatic Clearance Network
Lysosome,1,,A10,Proteostasis–Autophagy–Lysosome,0.33,,NEEDS_REVIEW,N070 Lysosomal Degradation Network
Memory,1,,,,0.0,,NEEDS_REVIEW,N116 Memory Consolidation Network
Metabolic Flexibility,1,,,,0.0,,NEEDS_REVIEW,N032 Fuel Switching Network
Microcirculation,1,,A21,Vascular Remodeling & Microcirculation,0.33,,NEEDS_REVIEW,N083 Capillary Perfusion Network
Mineral Homeostasis,1,,A2,Immune Homeostasis,0.33,,NEEDS_REVIEW,N144 Bone Mineral Homeostasis Network
Mitophagy,1,,,,0.0,,NEEDS_REVIEW,N069 Mitophagy Network
Muscle Integrity,1,,A28,Muscle Protein Turnover,0.25,,NEEDS_REVIEW,N141 Muscle Protein Turnover Network
Muscle Regeneration,1,,A28,Muscle Protein Turnover,0.25,,NEEDS_REVIEW,N142 Myogenesis Network
Neuroimmune,1,,,,0.0,,NEEDS_REVIEW,N113 Neuroimmune Communication Network
Neuroinflammation,1,,,,0.0,,NEEDS_REVIEW,N114 Microglial Regulation Network
Nutrient Absorption,1,,A7,Nutrient Sensing,0.33,,NEEDS_REVIEW,N132 Nutrient Absorption Network
Olfactory System,1,,,,0.0,,NEEDS_REVIEW,N170 Olfactory Signaling Network
Oral–Mucosal Defense,1,,A3,Pathogen Defense,0.25,,NEEDS_REVIEW,N176 Oral Mucosal Defense Network
Oxidative Damage,1,,A9,Oxidative Stress & Redox Balance,0.2,,NEEDS_REVIEW,N014 Lipid Peroxidation Network
Oxygen Delivery,1,,,,0.0,,NEEDS_REVIEW,N084 Tissue Oxygenation Network
Pancreatic Endocrine,1,,,,0.0,,NEEDS_REVIEW,N134 Pancreatic Endocrine Network
Pancreatic Exocrine,1,,,,0.0,,NEEDS_REVIEW,N135 Pancreatic Exocrine Network
Platelet Biology,1,,,,0.0,,NEEDS_REVIEW,N167 Platelet Renewal Network
Proteasome,1,,,,0.0,,NEEDS_REVIEW,N073 Ubiquitin–Proteasome Network
Protein Aggregation,1,,A28,Muscle Protein Turnover,0.25,,NEEDS_REVIEW,N074 Proteotoxic Stress Network
Protein Damage,1,,A28,Muscle Protein Turnover,0.25,,NEEDS_REVIEW,N163 Protein Crosslinking Network
Protein Folding,1,,A28,Muscle Protein Turnover,0.25,,NEEDS_REVIEW,N071 Chaperone Protein Folding Network
Pulmonary Defense,1,,A3,Pathogen Defense,0.33,,NEEDS_REVIEW,N138 Pulmonary Immune Defense Network
Pulmonary Repair,1,,A11,DNA Repair & Genomic Stability,0.2,,NEEDS_REVIEW,N139 Pulmonary Epithelial Repair Network
RNA Regulation,1,,A12,Epigenetic Regulation,0.33,,NEEDS_REVIEW,N056 MicroRNA Regulatory Network
ROS/RNS Load,1,,A1,Systemic Inflammatory Load,0.2,,NEEDS_REVIEW,N013 ROS Regulation Network
Redox–Energy Coupling,1,,A9,Oxidative Stress & Redox Balance,0.17,,NEEDS_REVIEW,N031 Mitochondrial ROS Signaling Network
Regeneration,1,,,,0.0,,NEEDS_REVIEW,N080 Tissue Regeneration Integration Network
Reproductive Axis,1,,A33,Thyroid–Adrenal–Growth Axis,0.2,,NEEDS_REVIEW,N108 HPG Axis Network
Resolution,1,,,,0.0,,NEEDS_REVIEW,N009 Inflammation Resolution Network
Reward System,1,,,,0.0,,NEEDS_REVIEW,N119 Dopaminergic Reward Network
SASP,1,,A14,Senescence & SASP,0.5,,NEEDS_REVIEW,N065 SASP Inflammatory Secretome Network
Senescence,1,,A14,Senescence & SASP,0.5,,NEEDS_REVIEW,N064 Cellular Senescence Control Network
Sirtuin Pathway,1,,,,0.0,,NEEDS_REVIEW,N061 Sirtuin–NAD+ Longevity Network
Skin Integrity,1,,A30,Connective Tissue Integrity,0.25,,NEEDS_REVIEW,N149 Skin Barrier & Repair Network
Sleep Biology,1,,A34,Neuro–Sleep–Stress–Brain Clearance,0.17,,NEEDS_REVIEW,N110 Sleep Architecture Network
Specialized Anticancer Defense,1,,A3,Pathogen Defense,0.25,,NEEDS_REVIEW,N179 Tumor Elimination Network
Specialized Antiviral Defense,1,,A3,Pathogen Defense,0.25,,NEEDS_REVIEW,N178 Viral Restriction Network
Stem Cell,1,,A26,Stem Cell & Hematopoiesis,0.67,,NEEDS_REVIEW,N079 Stem Cell Activation Network
Synaptic Function,1,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N115 Synaptic Plasticity Network
Telomere Biology,1,,,,0.0,,NEEDS_REVIEW,N052 Telomere Maintenance Network
Tendon–Ligament Integrity,1,,A30,Connective Tissue Integrity,0.2,,NEEDS_REVIEW,N147 Tendon–Ligament Integrity Network
Thyroid Function,1,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N106 Thyroid Hormone Regulation Network
Tubular Function,1,,A20,Endothelial Function,0.33,,NEEDS_REVIEW,N127 Renal Tubular Transport Network
Tumor Microenvironment,1,,A38,Tumor Microenvironment & Metastatic Dynamics,0.5,,NEEDS_REVIEW,N155 Tumor Microenvironment Network
Tumor Suppression,1,,A38,Tumor Microenvironment & Metastatic Dynamics,0.2,,NEEDS_REVIEW,N152 Tumor Suppressor Network
Upper Airway Defense,1,,A3,Pathogen Defense,0.25,,NEEDS_REVIEW,N177 Nasal–Sinus Defense Network
Vagal Axis,1,,A33,Thyroid–Adrenal–Growth Axis,0.2,,NEEDS_REVIEW,N103 Cholinergic Anti-inflammatory Network
Vascular Remodeling,1,,A21,Vascular Remodeling & Microcirculation,0.67,,NEEDS_REVIEW,N086 Vascular Adaptation Network
Visual System,1,,,,0.0,,NEEDS_REVIEW,N168 Retinal–Visual Network
Whole-Life Integration,1,,,,0.0,,NEEDS_REVIEW,N180 Human Biological Integration Network
Wound Healing,1,A24,A24,,1.0,A24,AUTO_MATCHED,N075 Wound Healing Transition Network
