module_code,phytocore_code,module_name,registry_match,xlsx_axes,md_primary,md_secondary,md_all,xlsx_vs_md,only_in_xlsx,only_in_md,suggested_union,md_file_count,dose,contraindications,needs_review,raw_axis_text
H-014,TSPI-CENTELLA-014,Centella Asiatica Capsule,RID-SI CAPSULE,A9;A21;A22;A25;A31;A33;A34,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,A33;A34,A1;A24;A26,A1;A9;A21;A22;A24;A25;A26;A31;A33;A34,5,2-4 capsules (500 mg) 3-4 times daily before meals.,Risk score 2/10,,Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Tissue repair Axis 31 — Skin regeneration Axis 33 — Nervous system regulation Axis 34 — Cognitive function
H-015,TSPI-BLAX-015,B-LAX CAPSULE,B-LAX CAPSULE,A16;A17;A18;A20;A22;A33;A35,A16;A17;A18;A20;A22;A33;A35,A16,A16;A17;A18;A20;A22;A33;A35,AGREE,,,A16;A17;A18;A20;A22;A33;A35,4,"Take 2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.","Low risk, but caution is advised in users of stimulant laxatives and motility drugs.",,Axis 17 — Digestive system Axis 18 — Microbiome regulation Axis 16 — Detoxification pathway Axis 20 — Colon biofilm burden Axis 33 — Nervous system regulation Axis 22 — Microcirculation                                              Axis 35: Organ Resilience & Functional Reserve (Organ Meta‑Axis)
H-016,TSPI-BLOOD-REGEN-016,Nourishing Blood Tonic Capsule,Nourishing Blood Tonic Capsule,A1;A9;A21;A22;A25;A27;A31,A1;A9;A21;A22;A25;A27;A28;A31,A14;A21,A1;A9;A14;A21;A22;A25;A27;A28;A31,PARTIAL,,A14;A28,A1;A9;A14;A21;A22;A25;A27;A28;A31,5,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",,,Axis 1 – Systemic inflammation Axis 9 – Oxidative stress regulation Axis 21 – Endothelial protection Axis 22 – Microcirculation Axis 25 – Tissue regeneration Axis 27 – Hormonal regulation Axis 31 – Hematopoietic regulation
H-017,TSPI-CATHARTIC-017,Cathartic Capsule,Cathartic Capsule,A16;A17;A18;A20;A33,A16;A17;A18;A20;A33,A16;A19,A16;A17;A18;A19;A20;A33,PARTIAL,,A19,A16;A17;A18;A19;A20;A33,3,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",Stimulant laxatives are drugs that increase bowel movement.,,Axis 16 — Detoxification Axis 17 — Digestive system Axis 18 — Gut microbiome Axis 20 — Colon biofilm burden Axis 33 — Nervous system regulation
H-018,TSPI-VENTA-018,Ya Venta Capsule,Ya Venta Capsule,A1;A9;A21;A22;A25;A33,A1;A9;A17;A21;A22;A25;A29;A31;A33,A18,A1;A9;A17;A18;A21;A22;A25;A29;A31;A33,PARTIAL,,A17;A18;A29;A31,A1;A9;A17;A18;A21;A22;A25;A29;A31;A33,4,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",,,Axis 1 — Systemic inflammation Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Tissue repair Axis 33 — Nervous system regulation
H-019,TSPI-FEVA-IMMUNE-019,FEVA CAPSULE,FEVA CAPSULE,A1;A2;A3;A9;A31;A32,A1;A2;A3;A9;A31;A32,,A1;A2;A3;A9;A31;A32,AGREE,,,A1;A2;A3;A9;A31;A32,2,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",,,Axis 1 — Systemic inflammatory load Axis 2 — Immune homeostasis Axis 3 — Pathogen defense Axis 9 — Oxidative stress regulation Axis 31 — Immune modulation Axis 32 — Respiratory system
H-020,TSPI-BOVA-020,BOVA Capsule,BOVA Capsule,A9;A21;A22;A33;A34;A35;A39,A9;A21;A22;A32;A33;A34;A35;A39,,A9;A21;A22;A32;A33;A34;A35;A39,PARTIAL,,A32,A9;A21;A22;A32;A33;A34;A35;A39,2,,,,Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 33 — Nervous system regulation Axis 34 — Neuroendocrine regulation Axis 35 — Sleep regulation AXIS 37 Protein Quality Control System Axis  AXIS 38 Protein Clearance & Proteotoxic Stress Axis          
H-021,TSPI-PSYLAZA-021,Psylaza Capsule,Psylaza Capsule,A9;A21;A22;A33;A34;A35;A39,A9;A21;A22;A33;A34;A35;A38;A39,,A9;A21;A22;A33;A34;A35;A38;A39,PARTIAL,,A38,A9;A21;A22;A33;A34;A35;A38;A39,2,"2-4 capsules (500 mg) 3-4 times daily, before meals or on an empty stomach.",,,Axis 9 — Oxidative stress regulation Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 33 — Nervous system regulation Axis 34 — Neuroendocrine axis Axis 35 — Cognitive function AXIS 37 Protein Quality Control System Axis  AXIS 38 Protein Clearance & Proteotoxic Stress Axis              
H-014,TSPI-RIDSI-014,RID-SI Capsule,RID-SI CAPSULE,A1;A9;A21;A22;A25;A26;A31,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,,A24,A1;A9;A21;A22;A24;A25;A26;A31,5,2-4 capsules (500 mg) 3-4 times daily before meals.,,,Axis 1 — Systemic inflammation Axis 9 — Oxidative stress Axis 21 — Endothelial function Axis 22 — Microcirculation Axis 25 — Wound healing Axis 26 — ECM remodeling Axis 31 — Connective tissue integrity
H-022,TSPI-CINNARA-022,CINNARA Capsule,CINNARA Capsule,A2;A4;A9;A18;A25;A33,A2;A4;A9;A16;A17;A18;A25;A33,A1;A5;A18;A35,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,PARTIAL,,A1;A5;A16;A17;A35,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,4,500 mg per capsule. Take 2–4 capsules 3–4 times daily before meals.,,,Axis 2 — Digestive regulation Axis 4 — Gut motility Axis 9 — Oxidative stress regulation Axis 18 — Microbiome balance Axis 25 — Tissue repair Axis 33 — Nervous system regulation
H-024,TSPI-IMMUNE-DETOX-024,Merdana Capsule,Merdana Capsule,A1;A3;A9;A17;A18;A21;A24;A36;A39,A1;A2;A3;A9;A17;A18;A21;A24;A25;A36;A39,A1;A3;A31;A35,A1;A2;A3;A9;A17;A18;A21;A24;A25;A31;A35;A36;A39,PARTIAL,,A2;A25;A31;A35,A1;A2;A3;A9;A17;A18;A21;A24;A25;A31;A35;A36;A39,2,"2–4 capsules (500 mg) 3–4 times daily, before meals or on an empty stomach.",,,Axis 1 – Systemic inflammatory load Axis 3 – Pathogen defense Axis 9 – Oxidative stress regulation Axis 17 – Microbiome ecology Axis 18 – Gut barrier integrity Axis 21 – Microcirculation Axis 24 – Wound healing Axis 36 – Oncology XIS 37– Protein Quality Control System Axis   AXIS 38 –Protein Clearan
H-023,TSPI-MYOFASCIAL-REPAIR-023,Tarana Capsule,Tarana Capsule,A1;A9;A21;A22;A24;A25;A30,A1;A9;A17;A21;A22;A24;A25;A29;A30,A1;A16;A21;A31,A1;A9;A16;A17;A21;A22;A24;A25;A29;A30;A31,PARTIAL,,A16;A17;A29;A31,A1;A9;A16;A17;A21;A22;A24;A25;A29;A30;A31,2,,,,Axis 1 – Systemic inflammatory load Axis 9 – Oxidative stress regulation Axis 21 – Endothelial function Axis 22 – Microcirculation Axis 24 – Wound healing Axis 25 – Fibrosis regulation Axis 30 – Connective tissue integrity
H-026,TSPI-DETOX-MICROBIOME-026,KS Capsule,KS,A1;A5;A9;A15;A17;A18;A19;A24;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,A1;A5;A16;A19,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,PARTIAL,,A2;A3;A4;A6;A7;A8;A10;A11;A12;A13;A14;A16;A20;A21;A22;A23;A25;A26;A27;A30;A35;A38;A39,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A30;A35;A36;A38;A39,5,,,,Axis 1 – Systemic inflammation Axis 5 – Glucose regulation Axis 9 – Oxidative stress regulation Axis 15 – Detoxification Axis 17 – Microbiome ecology Axis 18 – Gut barrier integrity Axis 19 – Colon detox Axis 24 – Tissue repair Axis 36 – Oncology
H-027,TSPI-HORMONE-VITALITY-027,Ho Ren Yin Mixture,HO REN YIN MIXTURE,A5;A8;A21;A22;A27;A31;A33,A1;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A31;A32;A33;A34;A35,A2;A28;A29;A30;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A1;A2;A4;A9;A11;A13;A14;A18;A23;A24;A26;A28;A29;A30;A32;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,5,"1–2 tablespoons, 1–2 times a day.",Risk Score 2/10,,Axis 5 – Metabolic regulation Axis 8 – Mitochondrial energy Axis 21 – Endothelial function Axis 22 – Microcirculation Axis 27 – Hormonal balance Axis 31 – Male androgen axis Axis 33 – Neuroendocrine axis
H-028,TSPI-MUSCLE-REGEN-028,ANAX / AJAX Mixture,ANAX / AJAX Mixture,A5;A8;A9;A21;A22;A24;A30,A5;A8;A9;A21;A22;A24;A30,,A5;A8;A9;A21;A22;A24;A30,AGREE,,,A5;A8;A9;A21;A22;A24;A30,1,"1–2 tablespoons, 1–2 times a day.",,,Axis 5 – Metabolic regulation Axis 8 – Mitochondrial energy Axis 9 – Oxidative stress regulation Axis 21 – Endothelial function Axis 22 – Microcirculation Axis 24 – Tissue repair Axis 30 – Musculoskeletal system
H-030,TSPI-IMMUNE-INFLAM-030,IM-6 Capsule,IM-6 Capsule,A1;A3;A9;A17;A21;A24;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A33;A35;A36,,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A33;A35;A36,PARTIAL,,A2;A4;A5;A6;A7;A8;A10;A11;A12;A13;A14;A15;A18;A20;A22;A23;A25;A26;A27;A33;A35,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A17;A18;A20;A21;A22;A23;A24;A25;A26;A27;A33;A35;A36,3,2–4 capsules (500 mg) 3–4 times daily before meals.,,,Axis 1 – Systemic inflammatory load Axis 3 – Pathogen defense Axis 9 – Oxidative stress regulation Axis 17 – Microbiome immune interface Axis 21 – Microcirculation Axis 24 – Tissue repair Axis 36 – Oncology immune surveillance
H-009,TSPI-REGEN-ENDO-BLOOD-009,HO REN YIN MIXTURE,HO REN YIN MIXTURE,A1;A8;A9;A11;A13;A14;A21;A23;A24;A26;A28;A29;A31;A32;A33;A35,A1;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A31;A32;A33;A34;A35,A2;A28;A29;A30;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A2;A4;A5;A18;A22;A27;A30;A34,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 1 – Systemic inflammation Axis 8 – Mitochondrial network Axis 9 – Oxidative stress regulation Axis 11 – DNA repair Axis 13 – Longevity signaling Axis 14 – Senescence regulation Axis 21 – Microcirculation Axis 23 – Hemodynamics Axis 24 – Tissue repair Axis 26 – Stem cell / hematopoiesis Axis 28 
H-010,TSPI-REGEN-ENDO-010,AM-PUR MIXTURE,MOMORDICA CHARANTIA CAPSULE,A5;A7;A8;A9;A21;A23;A24;A26;A28;A29;A31;A32;A33;A35,A9;A18;A19;A21;A24;A27;A28,,A9;A18;A19;A21;A24;A27;A28,PARTIAL,A5;A7;A8;A23;A26;A29;A31;A32;A33;A35,A18;A19;A27,A5;A7;A8;A9;A18;A19;A21;A23;A24;A26;A27;A28;A29;A31;A32;A33;A35,1,2-4 capsules (500 mg) 3-4 times daily before meals.,,,Axis 5 – Glucose regulation Axis 7 – Nutrient sensing (AMPK-mTOR) Axis 8 – Mitochondrial network Axis 9 – Oxidative stress Axis 21 – Microcirculation Axis 23 – Hemodynamic balance Axis 24 – Tissue repair Axis 26 – Stem cell / hematopoiesis Axis 28 – Muscle protein turnover Axis 29 – Bone remodeling 
S-00-58,TSPI-LIVER-REGEN-058,HEPA-3 Capsule,HEPA-3 Capsule,A1;A6;A8;A9;A15;A21;A24;A35,A1;A5;A6;A8;A9;A13;A15;A21;A24;A35;A36,,A1;A5;A6;A8;A9;A13;A15;A21;A24;A35;A36,PARTIAL,,A5;A13;A36,A1;A5;A6;A8;A9;A13;A15;A21;A24;A35;A36,3,2-4 capsules (500 mg) 3-4 times daily before meals.,,,"This formula involves several TSPI axes: Axis 1 — Systemic inflammation, Axis 6 — Lipid metabolism, Axis 8 — Mitochondrial network, Axis 9 — Oxidative stress regulation, Axis 15 — Detoxification, Axis 21 — Microcirculation, Axis 24 — Tissue repair, and Axis 35 — Organ resilience (liver)."
S-00-59,TSPI-NEURO-SLEEP-059,Sangvichai,Sangvichai,A1;A8;A9;A10;A13;A17;A21;A24;A34;A36;A39,A1;A8;A9;A10;A12;A13;A14;A17;A21;A22;A23;A24;A33;A34;A35;A36;A39,,A1;A8;A9;A10;A12;A13;A14;A17;A21;A22;A23;A24;A33;A34;A35;A36;A39,PARTIAL,,A12;A14;A22;A23;A33;A35,A1;A8;A9;A10;A12;A13;A14;A17;A21;A22;A23;A24;A33;A34;A35;A36;A39,2,,,,Axis 1 – systemic inflammation Axis 8 – mitochondrial network Axis 9 – oxidative stress regulation Axis 10 – proteostasis Axis 13 – longevity signaling Axis 17 – microbiome ecology Axis 21 – microcirculation Axis 24 – tissue repair Axis 34 – neuro-sleep-stress axis Axis 36 – neurodegeneration / onco
S-00-60,TSPI-OXY-LIVER-DETOX-060,Livoxy Capsule,Livoxy Capsule,A1;A9;A15;A21;A22;A23;A25;A36,A1;A9;A15;A21;A22;A23;A25;A36,,A1;A9;A15;A21;A22;A23;A25;A36,AGREE,,,A1;A9;A15;A21;A22;A23;A25;A36,1,2-4 capsules (500 mg) 3-4 times daily before meals.,,,Axis 1 — Systemic inflammation Axis 9 — Oxidative stress regulation Axis 15 — Detoxification system Axis 21 — Endothelial protection Axis 22 — Microcirculation Axis 23 — Hemodynamics Axis 25 — Tissue regeneration Axis 36 — Oncology
S-00-60 (Next Sequence),TSPI-MUSCLE-BONE-REGEN-061,Bonax Capsule,Bonax Capsule,A1;A9;A21;A25;A28;A29;A30;A36,A29,,A29,PARTIAL,A1;A9;A21;A25;A28;A30;A36,,A1;A9;A21;A25;A28;A29;A30;A36,1,2-4 capsules 2-3 times daily.,,,Axis 1 — Systemic inflammation Axis 9 — Oxidative stress Axis 21 — Endothelial function Axis 25 — Tissue repair Axis 28 — Muscle metabolism Axis 29 — Bone remodeling Axis 30 — Connective tissue Axis 36 — Anti-inflammatory system
S-00-61,TSPI-WOUND-IMMUNE-061,Rizzo Capsule,Rizzo Capsule,A1;A4;A9;A12;A18;A22;A35;A36,A1;A4;A9;A12;A18;A22;A35;A36,,A1;A4;A9;A12;A18;A22;A35;A36,AGREE,,,A1;A4;A9;A12;A18;A22;A35;A36,2,2–4 capsules 2–3 times daily.,,,Axis 1 — Inflammation                                          Axis 4 — Infection control                                        Axis 9 — Oxidative stress                                          Axis 12 — Immune modulation                              Axis 18 — Tissue repair                        
S-00-52,S-00-52,BETA 5 Capsule,BETA 5 Capsule,A36,A36,,A36,AGREE,,,A36,2,2–4 capsules 2–3 times daily.,,,Axis 36: Oncology
